ID,Date,#TouchedClasses
f44dd067d8e1a724e92ee054adbcc0392b5389b1,2006-08-08T00:36:42,0
6234f8d3da7d38864cf7c8460a23113a51313f01,2006-08-08T03:42:34,83
a120874a44f75cb61362a741f1e204a89fd20ab6,2006-08-08T22:23:35,4
5bef32e5164bca30a252b9863e6fcc8f4051b00a,2006-08-09T22:59:45,2
fd74642a178aa6fbbece1db6ea89aa161eba78d5,2006-08-10T00:39:24,1
3e758faf25866656ffe70054c9ebaf88d00483ef,2006-08-10T01:39:58,1
07a13ab9086bca3880846953da5d29b6246ac076,2006-08-10T10:14:18,2
aba057d644f135f324b1f5878ded921536b9127b,2006-08-11T23:07:58,17
174bbd211f7b592a702a549f42f2385a7282ce1e,2006-08-12T00:53:58,1
132602e3d20efd612f21835bd48c2f9aebaa300f,2006-08-12T03:01:55,1
26ae2fa31c9efe109e0fa7ab73326a1650582b4d,2006-08-13T03:49:01,1
0821efea407c5dfca8c4b359deb5038c06dd4404,2006-08-15T17:57:14,1
daf1f35793c8fb17850579d24fd6d18a3c1e1249,2006-08-15T18:16:57,1
c8af68ac7db71fb2fd8a3829da4df64050ba6208,2006-08-15T20:46:59,1
2ccc2426791f4846704098e8564753faad665442,2006-08-17T01:27:04,25
69b83ac3ffdc0421d5a8c68a7d825bc87169a91b,2006-08-18T02:17:30,17
eb2b5e65516d55cb7fd75c92f7a70c0216f28104,2006-08-18T02:21:04,1
037a45d7e4a7b57146b33c70598b9376374f21de,2006-08-19T03:03:35,90
978bc40091963f9a89f08b64a4163687a0d9fec7,2006-08-21T18:53:51,1
9de53954861ed7f57e92be0c1054befec56d0af2,2006-08-22T00:29:47,26
d5bb522c34f07740b5a89ecae4c51ede74fbe51b,2006-08-22T01:53:49,6
6f0a7f67da77101bd7bf2d82ee518e40485b279f,2006-08-22T03:50:43,6
d13c9fa4f6d136e83c86d4c0c7259149c5dd9857,2006-08-22T17:14:46,0
ac98ba5c8084f6cb8d8973c31b7b907dbee63b53,2006-08-22T23:28:53,0
