Version,Name,Size,NR,NAuth,LOC_Touched,LOC_Added,Max_LOC_Added,Avg_LOC_Added,Churn,ChgSetSize,Buggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,529,4,1,5,9,5,2.25,-4,2,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,694,10,3,28,193,48,19.3,91,4,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,1,1,4,2,2,2.0,0,25,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/HardLink.java,665,2,1,2,666,665,333.0,665,25,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/IOUtils.java,55,1,1,55,55,55,55.0,55,7,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,256,5,2,47,109,33,21.8,60,10,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SnapshotMap.java,132,1,1,132,132,132,132.0,132,6,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalTest.java,582,9,3,6,617,394,68.55556,582,15,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java,261,1,1,12,6,6,6.0,0,11,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CompactionTest.java,319,3,2,26,332,317,110.666664,319,11,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CookieTest.java,321,2,1,27,323,298,161.5,321,2,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,183,8,3,26,116,61,14.5,93,2,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/IndexCorruptionTest.java,166,2,1,6,169,166,84.5,166,11,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/LedgerCacheTest.java,210,5,2,35,280,127,56.0,280,10,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/UpgradeTest.java,249,5,3,3,263,143,52.6,249,15,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTest.java,88,3,1,88,264,88,88.0,264,10,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,734,6,2,2,163,155,27.166666,117,14,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieThrottleTest.java,127,1,1,127,127,127,127.0,127,2,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/ClientUtil.java,30,1,1,30,30,30,30.0,30,5,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java,136,2,2,10,4,3,2.0,-3,6,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java,380,4,3,35,47,33,11.75,35,14,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestReadTimeout.java,101,5,2,2,108,101,21.6,101,10,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/GcLedgersTest.java,167,1,1,167,167,167,167.0,167,6,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java,43,1,1,4,0,0,0.0,-4,11,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,134,1,1,8,3,3,3.0,-2,11,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerManagerTestCase.java,77,1,1,77,77,77,77.0,77,6,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,261,1,1,8,4,4,4.0,0,11,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java,113,1,1,2,1,1,1.0,0,4,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java,49,7,2,235,119,30,17.0,-208,11,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookKeeperClusterTestCase.java,339,3,2,2,345,336,115.0,339,6,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,243,2,1,26,15,13,7.5,1,14,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,358,2,2,23,76,76,38.0,53,17,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java,259,3,2,15,55,44,18.333334,40,6,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,1167,2,1,9,131,126,65.5,127,15,true
