Class...,... in version ...,... is touched by commit ...,... related to bug...,... which lifecycle is...
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,2,06b50969499330d4a5421b48a042fdee63857d23,BOOKKEEPER-387,2 3
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/UpgradeTest.java,2,06b50969499330d4a5421b48a042fdee63857d23,BOOKKEEPER-387,2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,2,6f364a214d2b65f5823af2e5699bbc59dc08a4c9,BOOKKEEPER-383,2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,2,6f364a214d2b65f5823af2e5699bbc59dc08a4c9,BOOKKEEPER-383,2 3
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,2,26671da549558c4b16da42f2eabfad65fa223831,BOOKKEEPER-396,2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,1,4f2b11213baf8551ef778599b14a6fc17d95f21d,BOOKKEEPER-403,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerFragmentReplicator.java,1,4f2b11213baf8551ef778599b14a6fc17d95f21d,BOOKKEEPER-403,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,1,4f2b11213baf8551ef778599b14a6fc17d95f21d,BOOKKEEPER-403,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,1,4f2b11213baf8551ef778599b14a6fc17d95f21d,BOOKKEEPER-403,1 2 3
hedwig-client/src/main/java/org/apache/hedwig/client/netty/NetUtils.java,1,c4519d96d592967aaad1d056db3d31cbe56de865,BOOKKEEPER-415,1 2 3
hedwig-server/src/test/java/org/apache/hedwig/server/TestBackwardCompat.java,1,c4519d96d592967aaad1d056db3d31cbe56de865,BOOKKEEPER-415,1 2 3
hedwig-server/src/test/java/org/apache/hedwig/server/delivery/TestThrottlingDelivery.java,1,c4519d96d592967aaad1d056db3d31cbe56de865,BOOKKEEPER-415,1 2 3
hedwig-client/src/main/java/org/apache/hedwig/client/netty/impl/simple/SimpleSubscribeResponseHandler.java,1,db1484669db7076d71b0ad890f8867e86a18229f,BOOKKEEPER-427,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,1,eb01b7c1a9d22a55f0107d8b3ba60807d4fd05f4,BOOKKEEPER-424,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/AutoRecoveryMain.java,1,eb01b7c1a9d22a55f0107d8b3ba60807d4fd05f4,BOOKKEEPER-424,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,1,eb01b7c1a9d22a55f0107d8b3ba60807d4fd05f4,BOOKKEEPER-424,1 2 3
bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/TestLedgerUnderreplicationManager.java,1,eb01b7c1a9d22a55f0107d8b3ba60807d4fd05f4,BOOKKEEPER-424,1 2 3
bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/TestReplicationWorker.java,1,eb01b7c1a9d22a55f0107d8b3ba60807d4fd05f4,BOOKKEEPER-424,1 2 3
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ZooKeeperUtil.java,1,eb01b7c1a9d22a55f0107d8b3ba60807d4fd05f4,BOOKKEEPER-424,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/zookeeper/ZooKeeperWatcherBase.java,1,2c7236cf339a2de3cf3fbc0aaa8cd88cc4398ca0,BOOKKEEPER-424,1 2 3
hedwig-server/src/main/java/org/apache/hedwig/admin/HedwigAdmin.java,1,223a3fb3fbc78fe4dc1922967fe3daa3edfc3fb2,BOOKKEEPER-439,1 2 3
hedwig-server/src/main/java/org/apache/hedwig/admin/console/ReadTopic.java,1,223a3fb3fbc78fe4dc1922967fe3daa3edfc3fb2,BOOKKEEPER-439,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,1,536d86ec4b93909e870d6bc65fba7037360ea036,BOOKKEEPER-425,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerBean.java,1,536d86ec4b93909e870d6bc65fba7037360ea036,BOOKKEEPER-425,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/BookieLedgerIndexer.java,1,536d86ec4b93909e870d6bc65fba7037360ea036,BOOKKEEPER-425,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,1,536d86ec4b93909e870d6bc65fba7037360ea036,BOOKKEEPER-425,1 2 3
bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorBookieTest.java,1,536d86ec4b93909e870d6bc65fba7037360ea036,BOOKKEEPER-425,1 2 3
