ReferringTicketID,1,2,3,4,5,6,7,8,9,10,11,12,13,JIRACheck
BOOKKEEPER-217,IOA,F,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-229,IOA,F,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-231,IOA,F,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-232,IOA,F,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-234,IOA,F,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-235,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-242,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-245,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-258,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-260,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-263,IOA,F,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-273,IOA,F,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-274,IOA,F,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-279,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-280,IA,OA,F,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-281,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-285,IOA,F,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-286,IOA,F,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-287,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-288,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-291,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-292,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-294,-,IOA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-296,IA,OA,F,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
BOOKKEEPER-298,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-302,-,IOA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-303,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-306,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-307,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-313,IA,A,OA,A,F,-,-,-,-,-,-,-,-,IV_AFTER_OV
BOOKKEEPER-322,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-324,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-326,-,IOA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-327,IA,OA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-329,IA,OA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-330,IA,OA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-336,-,IOA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-337,IA,OA,F,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
BOOKKEEPER-338,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-343,-,IOA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-349,-,IOA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-351,IA,OA,F,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-352,IA,OA,F,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-354,IA,OA,F,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-355,IA,OA,F,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-363,IA,A,OA,A,A,A,F,-,-,-,-,-,-,AVS_NOT_CONSISTENT
BOOKKEEPER-365,IA,OA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-371,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-372,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-381,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-382,IA,OA,F,-,-,-,-,-,-,-,-,-,-,OK
