Dataset,#TrainingRelease,%training,%Defective_in_training,%Defective_in_testing,Classifier,Feature_Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,2,44.90472245236123,26.51201325600663,7.456503728251864,IBk,NoFilter,SMOTESampling,SensitiveLearning,38.0,141.0,19.0,52.0,0.2122905027932961,0.4222222222222222,0.24788194444444445,-0.37739080787896095
BOOKKEEPER,2,44.90472245236123,26.51201325600663,7.456503728251864,IBk,BestFirstFilter,NoSampling,NoCostSensitive,30.0,86.0,74.0,60.0,0.25862068965517243,0.3333333333333333,0.40625,-0.19203135205747876
BOOKKEEPER,2,44.90472245236123,26.51201325600663,7.456503728251864,IBk,BestFirstFilter,NoSampling,SensitiveThreshold,30.0,86.0,74.0,60.0,0.25862068965517243,0.3333333333333333,0.39791666666666664,-0.19203135205747876
BOOKKEEPER,2,44.90472245236123,26.51201325600663,7.456503728251864,IBk,BestFirstFilter,NoSampling,SensitiveLearning,30.0,86.0,74.0,60.0,0.25862068965517243,0.3333333333333333,0.40625,-0.19203135205747876
BOOKKEEPER,2,44.90472245236123,26.51201325600663,7.456503728251864,IBk,BestFirstFilter,UnderSampling,NoCostSensitive,71.0,18.0,142.0,19.0,0.797752808988764,0.7888888888888889,0.8381944444444445,0.6780368952314653
BOOKKEEPER,2,44.90472245236123,26.51201325600663,7.456503728251864,IBk,BestFirstFilter,UnderSampling,SensitiveThreshold,90.0,160.0,0.0,0.0,0.36,1.0,0.5,0.0
BOOKKEEPER,2,44.90472245236123,26.51201325600663,7.456503728251864,IBk,BestFirstFilter,UnderSampling,SensitiveLearning,85.0,153.0,7.0,5.0,0.35714285714285715,0.9444444444444444,0.49409722222222224,-0.00868232890704801
BOOKKEEPER,2,44.90472245236123,26.51201325600663,7.456503728251864,IBk,BestFirstFilter,OverSampling,NoCostSensitive,26.0,79.0,81.0,64.0,0.24761904761904763,0.28888888888888886,0.3604861111111111,-0.1976549413735343
BOOKKEEPER,2,44.90472245236123,26.51201325600663,7.456503728251864,IBk,BestFirstFilter,OverSampling,SensitiveThreshold,26.0,90.0,70.0,64.0,0.22413793103448276,0.28888888888888886,0.36319444444444443,-0.2573481384715871
BOOKKEEPER,2,44.90472245236123,26.51201325600663,7.456503728251864,IBk,BestFirstFilter,OverSampling,SensitiveLearning,83.0,141.0,19.0,7.0,0.3705357142857143,0.9222222222222223,0.6219097222222222,0.030906233630172787
BOOKKEEPER,2,44.90472245236123,26.51201325600663,7.456503728251864,IBk,BestFirstFilter,SMOTESampling,NoCostSensitive,29.0,70.0,90.0,61.0,0.29292929292929293,0.32222222222222224,0.44871527777777775,-0.11281005776418633
BOOKKEEPER,2,44.90472245236123,26.51201325600663,7.456503728251864,IBk,BestFirstFilter,SMOTESampling,SensitiveThreshold,29.0,70.0,90.0,61.0,0.29292929292929293,0.32222222222222224,0.4423611111111111,-0.11281005776418633
BOOKKEEPER,2,44.90472245236123,26.51201325600663,7.456503728251864,IBk,BestFirstFilter,SMOTESampling,SensitiveLearning,38.0,141.0,19.0,52.0,0.2122905027932961,0.4222222222222222,0.24788194444444445,-0.37739080787896095
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,NoFilter,NoSampling,NoCostSensitive,60.0,21.0,36.0,8.0,0.7407407407407407,0.8823529411764706,0.7776057791537667,0.5235904849520305
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,NoFilter,NoSampling,SensitiveThreshold,68.0,57.0,0.0,0.0,0.544,1.0,0.5,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,NoFilter,NoSampling,SensitiveLearning,68.0,57.0,0.0,0.0,0.544,1.0,0.7959236326109391,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,NoFilter,UnderSampling,NoCostSensitive,0.0,0.0,57.0,68.0,0.0,0.0,0.3685500515995872,0.0
BOOKKEEPER,3,65.61723280861641,33.96851698425849,5.633802816901408,RandomForest,NoFilter,UnderSampling,SensitiveThreshold,68.0,57.0,0.0,0.0,0.544,1.0,0.5,0.0
